Release,File,NAuth,NR,Age,Size,NFix,LOC_Added,ChgSetSize,Max_ChgSetSize,Avg_ChgSetSize,Buggy
7,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java,4,0,94,244,0,0,0,0,0,No
7,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java,4,1,94,267,3,1,10,10,10,No
7,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java,4,1,94,470,3,1,10,10,10,No
7,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,4,0,109,0,0,0,0,0,0,No
7,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,4,0,109,299,0,0,0,0,0,No
7,bookkeeper-benchmark/src/test/java/org/apache/bookkeeper/benchmark/TestBenchmark.java,4,0,94,131,0,0,0,0,0,No
7,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,4,1,109,1657,17,45,11,11,11,Yes
7,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieBean.java,4,0,101,0,0,0,0,0,0,No
7,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,4,0,109,327,0,0,0,0,0,No
7,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieMXBean.java,4,0,101,0,0,0,0,0,0,No
7,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieShell.java,4,1,83,2165,4,1,11,11,11,No
7,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,4,0,109,287,0,0,0,0,0,No
7,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/CheckpointSource.java,3,1,37,93,2,1,0,0,0,No
7,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Cookie.java,4,0,94,452,0,0,0,0,0,No
7,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,4,0,109,1249,0,0,0,0,0,Yes
7,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/ExitCode.java,4,0,94,40,0,0,0,0,0,No
7,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,4,0,109,579,0,0,0,0,0,No
7,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileSystemUpgrade.java,4,0,99,388,0,0,0,0,0,No
7,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/GarbageCollector.java,4,0,56,49,0,0,0,0,0,No
7,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/GarbageCollectorThread.java,4,0,94,595,0,0,0,0,0,No
7,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/HandleFactory.java,4,0,94,32,0,0,0,0,0,No
7,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/HandleFactoryImpl.java,4,0,94,73,0,0,0,0,0,Yes
7,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/IndexInMemPageMgr.java,2,0,14,673,0,0,0,0,0,Yes
7,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/IndexPersistenceMgr.java,2,0,14,721,0,0,0,0,0,No
7,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/InterleavedLedgerStorage.java,4,1,91,664,5,9,11,11,11,Yes
7,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Journal.java,4,1,91,1199,6,2,9,9,9,No
7,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/JournalChannel.java,4,0,101,306,0,0,0,0,0,No
7,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,4,0,109,117,0,0,0,0,0,No
7,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheBean.java,4,0,101,0,0,0,0,0,0,No
7,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheImpl.java,4,0,94,238,0,0,0,0,0,No
7,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheMXBean.java,4,0,101,0,0,0,0,0,0,No
7,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,4,0,109,93,0,0,0,0,0,No
