Release,File,NAuth,NR,Age,Size,NFix,LOC_Added,ChgSetSize,Max_ChgSetSize,Avg_ChgSetSize,Buggy
4,examples/storm-starter/src/jvm/storm/starter/BasicDRPCTopology.java,14,1,33,0,1,78,132,132,132,Yes
4,examples/storm-starter/src/jvm/storm/starter/ExclamationTopology.java,14,1,33,0,1,87,132,132,132,No
4,examples/storm-starter/src/jvm/storm/starter/ManualDRPC.java,14,1,33,0,1,68,132,132,132,No
4,examples/storm-starter/src/jvm/storm/starter/PrintSampleStream.java,14,1,33,0,1,58,132,132,132,No
4,examples/storm-starter/src/jvm/storm/starter/ReachTopology.java,14,1,33,0,1,196,132,132,132,No
4,examples/storm-starter/src/jvm/storm/starter/RollingTopWords.java,14,1,33,0,1,132,132,132,132,No
4,examples/storm-starter/src/jvm/storm/starter/SingleJoinExample.java,14,1,33,0,1,64,132,132,132,No
4,examples/storm-starter/src/jvm/storm/starter/TransactionalGlobalCount.java,14,1,33,0,1,173,132,132,132,No
4,examples/storm-starter/src/jvm/storm/starter/TransactionalWords.java,14,1,33,0,1,246,132,132,132,No
4,examples/storm-starter/src/jvm/storm/starter/WordCountTopology.java,14,1,33,0,1,107,132,132,132,No
4,examples/storm-starter/src/jvm/storm/starter/bolt/AbstractRankerBolt.java,14,1,33,0,1,110,132,132,132,Yes
4,examples/storm-starter/src/jvm/storm/starter/bolt/IntermediateRankingsBolt.java,14,1,33,0,1,58,132,132,132,No
4,examples/storm-starter/src/jvm/storm/starter/bolt/PrinterBolt.java,14,1,33,0,1,37,132,132,132,No
4,examples/storm-starter/src/jvm/storm/starter/bolt/RollingCountBolt.java,14,1,33,0,1,142,132,132,132,Yes
4,examples/storm-starter/src/jvm/storm/starter/bolt/SingleJoinBolt.java,14,1,33,0,1,114,132,132,132,No
4,examples/storm-starter/src/jvm/storm/starter/bolt/TotalRankingsBolt.java,14,1,33,0,1,59,132,132,132,No
4,examples/storm-starter/src/jvm/storm/starter/spout/RandomSentenceSpout.java,14,1,33,0,1,64,132,132,132,No
4,examples/storm-starter/src/jvm/storm/starter/spout/TwitterSampleSpout.java,14,1,33,0,1,164,132,132,132,No
4,examples/storm-starter/src/jvm/storm/starter/tools/NthLastModifiedTimeTracker.java,14,1,33,0,1,70,132,132,132,No
4,examples/storm-starter/src/jvm/storm/starter/tools/Rankable.java,14,1,33,0,1,32,132,132,132,No
4,examples/storm-starter/src/jvm/storm/starter/tools/RankableObjectWithFields.java,14,1,33,0,1,148,132,132,132,No
4,examples/storm-starter/src/jvm/storm/starter/tools/Rankings.java,14,1,33,0,1,156,132,132,132,No
4,examples/storm-starter/src/jvm/storm/starter/tools/SlidingWindowCounter.java,14,1,33,0,1,119,132,132,132,No
4,examples/storm-starter/src/jvm/storm/starter/tools/SlotBasedCounter.java,14,1,33,0,1,118,132,132,132,No
4,examples/storm-starter/src/jvm/storm/starter/trident/TridentReach.java,14,1,33,0,1,156,132,132,132,No
4,examples/storm-starter/src/jvm/storm/starter/trident/TridentWordCount.java,14,1,33,0,1,85,132,132,132,No
4,examples/storm-starter/src/jvm/storm/starter/util/StormRunner.java,14,2,33,0,2,49,230,230,181,Yes
