@relation bookkeeper_release_4-weka.filters.unsupervised.attribute.Remove-R1-2

@attribute NAuth numeric
@attribute NR numeric
@attribute Age numeric
@attribute Size numeric
@attribute NFix numeric
@attribute LOC_Added numeric
@attribute ChgSetSize numeric
@attribute Max_ChgSetSize numeric
@attribute Avg_ChgSetSize numeric
@attribute Buggy {Yes,No}

@data
3,0,41,244,0,0,0,0,0,No
3,0,41,267,0,0,0,0,0,Yes
3,0,41,470,0,0,0,0,0,Yes
3,0,55,0,0,0,0,0,0,Yes
3,0,55,299,0,0,0,0,0,Yes
3,1,41,131,1,19,28,28,28,Yes
3,8,55,1657,10,273,63,63,36,Yes
3,0,48,0,0,0,0,0,0,No
3,0,55,327,0,0,0,0,0,Yes
3,0,48,0,0,0,0,0,0,No
3,2,29,2165,2,91,3,3,2,Yes
3,0,55,287,0,0,0,0,0,No
3,2,41,452,2,6,20,20,15,Yes
3,2,55,1249,2,30,1,1,0,Yes
3,0,41,40,0,0,0,0,0,No
3,1,55,579,2,40,11,11,11,Yes
3,0,46,388,0,0,0,0,0,Yes
3,2,41,595,2,68,3,3,1,No
3,0,41,32,0,0,0,0,0,No
3,0,41,73,0,0,0,0,0,No
3,2,37,664,2,13,14,14,12,No
3,3,37,1199,3,14,4,4,2,Yes
3,1,48,306,2,2,11,11,11,Yes
3,1,55,117,2,4,11,11,11,No
3,0,48,0,0,0,0,0,0,No
3,3,41,238,3,80,15,15,9,Yes
3,0,48,0,0,0,0,0,0,No
3,1,55,93,2,2,11,11,11,No
3,1,41,182,1,4,11,11,11,No
3,1,41,53,1,1,11,11,11,No
3,0,55,332,0,0,0,0,0,No
3,1,37,278,1,19,11,11,11,No
3,0,55,0,0,0,0,0,0,No
3,0,29,48,0,0,0,0,0,No
3,0,29,42,0,0,0,0,0,No
3,0,55,304,0,0,0,0,0,No
3,0,55,489,0,0,0,0,0,Yes
3,6,55,1511,6,31,37,37,21,Yes
3,4,55,1703,5,80,24,24,15,Yes
3,1,55,67,1,7,6,6,6,Yes
3,0,55,0,0,0,0,0,0,No
3,0,55,0,0,0,0,0,0,No
3,1,55,257,1,13,4,4,4,No
3,1,55,436,1,1,10,10,10,Yes
3,2,55,147,2,10,8,8,6,Yes
3,0,55,112,0,0,0,0,0,No
3,10,55,2064,11,309,40,40,20,Yes
3,6,55,0,7,175,44,44,24,Yes
3,2,55,279,3,6,8,8,6,Yes
3,1,55,231,3,1,10,10,10,Yes
3,0,55,0,0,0,0,0,0,Yes
3,4,55,526,5,43,21,21,14,Yes
3,9,55,646,11,336,35,35,19,Yes
3,2,55,163,3,5,10,10,10,Yes
3,2,55,352,2,31,5,5,3,Yes
3,1,55,456,1,6,4,4,4,No
3,0,55,85,0,0,0,0,0,No
3,1,55,1192,1,1,4,4,4,Yes
3,3,55,1913,4,72,12,12,6,Yes
3,1,55,3351,2,1,4,4,4,Yes
3,0,48,0,0,0,0,0,0,No
3,1,48,0,1,3,0,0,0,Yes
3,1,55,650,1,1,10,10,10,Yes
3,0,26,0,0,0,0,0,0,No
3,1,55,138,1,4,2,2,2,Yes
3,1,29,90,1,7,8,8,8,No
3,1,55,126,1,4,2,2,2,Yes
3,1,29,47,1,7,8,8,8,No
3,0,55,130,0,0,0,0,0,No
3,0,55,215,0,0,0,0,0,No
3,1,55,115,1,12,8,8,8,Yes
3,0,37,0,0,0,0,0,0,No
3,1,29,0,1,7,10,10,10,Yes
3,0,48,246,0,0,0,0,0,No
3,2,55,242,3,62,7,7,4,Yes
3,0,55,526,0,0,0,0,0,No
3,4,55,327,6,70,42,42,25,Yes
3,2,48,0,2,6,20,20,15,Yes
3,0,48,0,0,0,0,0,0,Yes
3,0,55,347,0,0,0,0,0,No
3,1,55,0,1,31,11,11,11,Yes
3,3,55,2524,5,53,13,13,7,Yes
3,0,55,0,0,0,0,0,0,Yes
3,0,55,176,0,0,0,0,0,No
3,0,55,147,0,0,0,0,0,No
3,0,55,0,0,0,0,0,0,No
3,0,29,78,0,0,0,0,0,No
3,0,41,678,0,0,0,0,0,Yes
3,0,35,176,0,0,0,0,0,No
3,0,55,550,0,0,0,0,0,Yes
3,0,55,0,0,0,0,0,0,No
3,0,55,0,0,0,0,0,0,No
3,3,55,0,3,75,13,13,8,Yes
3,0,29,0,0,0,0,0,0,No
3,0,55,81,0,0,0,0,0,No
3,0,29,48,0,0,0,0,0,No
3,2,55,182,2,8,20,20,15,Yes
3,0,29,43,0,0,0,0,0,No
3,2,55,323,2,18,16,16,12,No
3,1,29,62,1,31,10,10,10,Yes
3,0,29,34,0,0,0,0,0,No
3,1,48,857,2,1,2,2,2,No
3,0,41,1489,0,0,0,0,0,No
3,1,41,753,1,17,28,28,28,Yes
3,0,55,0,0,0,0,0,0,No
3,1,41,911,1,21,2,2,2,Yes
3,1,46,262,1,4,28,28,28,Yes
3,2,30,1115,2,71,6,6,3,Yes
3,0,55,140,0,0,0,0,0,No
3,4,55,853,7,41,38,38,30,Yes
3,1,38,0,1,0,7,7,7,Yes
3,0,48,89,0,0,0,0,0,No
3,1,55,430,3,28,11,11,11,Yes
3,0,48,88,0,0,0,0,0,No
3,1,41,753,1,8,0,0,0,Yes
3,0,55,0,0,0,0,0,0,Yes
3,0,41,298,0,0,0,0,0,No
3,2,55,349,2,14,28,28,28,Yes
3,1,29,0,1,7,10,10,10,Yes
3,0,55,0,0,0,0,0,0,No
3,0,55,262,0,0,0,0,0,No
3,0,55,0,0,0,0,0,0,No
3,8,41,836,9,215,59,59,38,Yes
3,0,55,343,0,0,0,0,0,No
3,1,55,378,1,23,2,2,2,Yes
3,0,55,283,0,0,0,0,0,No
3,4,55,1276,4,104,8,8,2,Yes
3,2,55,100,2,21,28,28,28,Yes
3,0,55,96,0,0,0,0,0,No
3,0,55,196,0,0,0,0,0,No
3,0,55,98,0,0,0,0,0,No
3,0,55,78,0,0,0,0,0,No
3,0,45,0,0,0,0,0,0,No
3,0,37,99,0,0,0,0,0,Yes
3,0,55,178,0,0,0,0,0,No
3,0,51,0,0,0,0,0,0,No
3,0,55,0,0,0,0,0,0,No
3,0,29,0,0,0,0,0,0,No
3,0,29,0,0,0,0,0,0,No
3,1,55,0,1,3,28,28,28,Yes
3,3,29,0,3,594,38,38,16,Yes
3,5,41,188,5,32,52,52,24,Yes
3,0,55,0,0,0,0,0,0,No
3,0,55,0,0,0,0,0,0,No
3,0,55,0,0,0,0,0,0,No
3,1,55,0,1,2,4,4,4,Yes
3,2,55,0,3,20,0,0,0,Yes
3,1,55,0,2,4,16,16,16,Yes
3,1,55,0,2,3,16,16,16,Yes
3,1,55,0,2,5,16,16,16,No
3,0,55,0,0,0,0,0,0,No
3,0,55,0,0,0,0,0,0,No
3,0,55,0,0,0,0,0,0,No
3,0,55,0,0,0,0,0,0,No
3,2,55,0,2,15,18,18,15,Yes
3,0,55,0,0,0,0,0,0,No
3,0,37,0,0,0,0,0,0,No
3,0,55,0,0,0,0,0,0,No
3,0,55,0,0,0,0,0,0,No
3,0,55,0,0,0,0,0,0,No
3,1,55,0,1,31,6,6,6,Yes
3,0,55,0,0,0,0,0,0,No
3,0,55,0,0,0,0,0,0,No
3,0,40,0,0,0,0,0,0,No
3,2,55,0,3,10,11,11,8,Yes
3,0,55,0,0,0,0,0,0,No
3,0,40,0,0,0,0,0,0,No
3,0,40,0,0,0,0,0,0,No
3,3,55,0,3,51,27,27,21,Yes
3,3,55,0,3,34,27,27,21,Yes
3,3,55,0,4,76,27,27,21,Yes
3,1,40,0,2,11,5,5,5,Yes
3,1,40,0,1,7,6,6,6,Yes
3,0,55,0,0,0,0,0,0,No
3,0,55,0,0,0,0,0,0,No
3,0,55,0,0,0,0,0,0,No
3,0,55,0,0,0,0,0,0,No
3,0,55,0,0,0,0,0,0,No
3,0,55,0,0,0,0,0,0,No
3,0,55,0,0,0,0,0,0,No
3,0,55,0,0,0,0,0,0,No
3,0,55,0,0,0,0,0,0,No
3,0,55,0,0,0,0,0,0,No
3,0,55,0,0,0,0,0,0,No
3,0,55,0,0,0,0,0,0,No
3,0,55,0,0,0,0,0,0,No
3,0,55,0,0,0,0,0,0,No
3,0,55,0,0,0,0,0,0,No
3,0,55,0,0,0,0,0,0,No
3,2,55,0,2,12,18,18,15,Yes
3,4,55,0,4,4291,35,35,20,Yes
3,0,55,0,0,0,0,0,0,No
3,0,55,0,0,0,0,0,0,No
3,0,55,0,0,0,0,0,0,No
3,2,48,0,3,77,13,13,9,Yes
3,1,48,0,2,12,7,7,7,No
3,3,48,0,4,40,29,29,22,Yes
3,0,48,0,0,0,0,0,0,Yes
3,1,48,0,2,18,6,6,6,Yes
3,0,29,0,0,0,0,0,0,No
3,1,55,0,1,4,16,16,16,No
3,1,55,0,1,2,16,16,16,No
3,1,55,0,1,2,16,16,16,Yes
3,0,55,0,0,0,0,0,0,Yes
3,1,55,0,1,2,5,5,5,Yes
3,3,55,0,4,29,12,12,8,Yes
3,0,55,0,0,0,0,0,0,No
3,0,55,0,0,0,0,0,0,No
3,0,55,0,0,0,0,0,0,No
3,1,55,0,2,5,2,2,2,Yes
3,0,55,0,0,0,0,0,0,No
3,0,55,0,0,0,0,0,0,No
3,1,55,0,3,28,4,4,4,Yes
3,6,55,0,7,126,41,41,29,Yes
3,0,55,0,0,0,0,0,0,No
3,0,55,0,0,0,0,0,0,No
3,0,55,0,0,0,0,0,0,No
3,0,55,0,0,0,0,0,0,No
3,0,41,0,0,0,0,0,0,No
3,0,41,0,0,0,0,0,0,No
3,1,55,0,1,3,16,16,16,No
3,2,55,0,2,29,20,20,18,Yes
3,1,55,0,1,4,16,16,16,No
3,0,41,0,0,0,0,0,0,No
3,0,41,0,0,0,0,0,0,No
3,0,41,0,0,0,0,0,0,No
3,3,55,0,5,51,15,15,7,Yes
3,1,41,0,1,7,2,2,2,No
3,0,41,0,0,0,0,0,0,No
3,0,55,0,0,0,0,0,0,No
3,1,41,0,2,11,16,16,16,No
3,0,55,0,0,0,0,0,0,Yes
3,6,55,0,7,286,23,23,14,Yes
3,0,55,0,0,0,0,0,0,No
3,0,55,0,0,0,0,0,0,No
3,0,55,0,0,0,0,0,0,No
3,0,55,0,0,0,0,0,0,Yes
3,0,55,0,0,0,0,0,0,No
3,0,55,0,0,0,0,0,0,No
3,0,55,0,0,0,0,0,0,No
3,0,55,0,0,0,0,0,0,No
3,0,55,0,0,0,0,0,0,No
3,4,55,0,5,250,24,24,19,Yes
3,2,41,0,2,2,6,6,4,Yes
3,0,41,0,0,0,0,0,0,No
