@relation bookkeeper_release_5-weka.filters.unsupervised.attribute.Remove-R1-2

@attribute NAuth numeric
@attribute NR numeric
@attribute Age numeric
@attribute Size numeric
@attribute NFix numeric
@attribute LOC_Added numeric
@attribute ChgSetSize numeric
@attribute Max_ChgSetSize numeric
@attribute Avg_ChgSetSize numeric
@attribute Buggy {Yes,No}

@data
4,0,51,244,0,0,0,0,0,No
4,2,51,267,2,8,80,80,60,Yes
4,2,51,470,2,10,80,80,60,Yes
4,2,65,0,2,10,80,80,60,Yes
4,2,65,299,2,4,80,80,60,Yes
4,0,51,131,0,0,0,0,0,No
4,3,65,1657,13,17,80,80,66,Yes
4,0,58,0,0,0,0,0,0,No
4,2,65,327,2,8,80,80,60,Yes
4,0,58,0,0,0,0,0,0,No
4,0,39,2165,0,0,0,0,0,No
4,0,65,287,0,0,0,0,0,No
4,2,51,452,4,16,80,80,60,Yes
4,2,65,1249,4,10,80,80,60,Yes
4,0,51,40,0,0,0,0,0,No
4,3,65,579,5,12,82,82,67,Yes
4,2,56,388,2,6,80,80,60,Yes
4,0,13,49,0,0,0,0,0,No
4,0,51,595,0,0,0,0,0,No
4,0,51,32,0,0,0,0,0,No
4,0,51,73,0,0,0,0,0,No
4,1,47,664,3,1,0,0,0,No
4,0,47,1199,0,0,0,0,0,No
4,2,58,306,4,6,80,80,60,Yes
4,0,65,117,0,0,0,0,0,No
4,0,58,0,0,0,0,0,0,No
4,4,51,238,7,19,83,83,71,Yes
4,0,58,0,0,0,0,0,0,No
4,0,65,93,0,0,0,0,0,No
4,0,51,182,0,0,0,0,0,No
4,0,51,53,0,0,0,0,0,No
4,0,21,424,0,0,0,0,0,No
4,0,65,332,0,0,0,0,0,No
4,0,47,278,0,0,0,0,0,No
4,0,65,0,0,0,0,0,0,No
4,0,39,48,0,0,0,0,0,No
4,0,39,42,0,0,0,0,0,No
4,0,13,293,0,0,0,0,0,No
4,0,65,304,0,0,0,0,0,No
4,0,65,489,0,0,0,0,0,Yes
4,0,65,1511,0,0,0,0,0,Yes
4,2,65,1703,7,10,80,80,60,Yes
4,2,65,67,3,2,76,76,57,Yes
4,0,65,0,0,0,0,0,0,No
4,0,65,0,0,0,0,0,0,No
4,0,65,257,0,0,0,0,0,No
4,0,31,423,0,0,0,0,0,No
4,0,65,436,0,0,0,0,0,No
4,0,65,147,0,0,0,0,0,No
4,0,65,112,0,0,0,0,0,No
4,0,31,227,0,0,0,0,0,No
4,0,30,453,0,0,0,0,0,No
4,2,65,2064,13,10,80,80,60,Yes
4,3,65,0,10,43,83,83,67,Yes
4,0,65,279,0,0,0,0,0,No
4,1,65,231,4,36,3,3,3,Yes
4,2,65,0,2,6,80,80,60,Yes
4,0,65,526,0,0,0,0,0,Yes
4,1,65,646,12,20,3,3,3,Yes
4,0,65,163,0,0,0,0,0,No
4,0,65,352,0,0,0,0,0,No
4,0,65,456,0,0,0,0,0,No
4,0,65,85,0,0,0,0,0,No
4,0,65,1192,0,0,0,0,0,No
4,4,65,1913,8,8,156,156,98,Yes
4,6,65,3351,8,13,156,156,91,Yes
4,0,58,0,0,0,0,0,0,No
4,0,58,0,0,0,0,0,0,No
4,2,65,650,3,2,76,76,57,Yes
4,0,65,138,0,0,0,0,0,Yes
4,0,39,90,0,0,0,0,0,No
4,1,65,126,2,1,1,1,1,Yes
4,0,39,47,0,0,0,0,0,No
4,0,65,130,0,0,0,0,0,No
4,0,65,215,0,0,0,0,0,No
4,2,65,115,3,12,76,76,57,Yes
4,0,31,253,0,0,0,0,0,No
4,0,14,818,0,0,0,0,0,No
4,2,31,1044,5,2,80,80,60,Yes
4,0,39,0,0,0,0,0,0,No
4,0,16,80,0,0,0,0,0,No
4,0,16,97,0,0,0,0,0,No
4,0,16,382,0,0,0,0,0,No
4,0,17,239,0,0,0,0,0,No
4,0,17,76,0,0,0,0,0,No
4,0,17,28,0,0,0,0,0,No
4,0,17,89,0,0,0,0,0,No
4,0,17,37,0,0,0,0,0,No
4,0,17,36,0,0,0,0,0,No
4,0,17,105,0,0,0,0,0,No
4,0,17,193,0,0,0,0,0,No
