@relation storm_release_6-weka.filters.unsupervised.attribute.Remove-R1-2

@attribute NAuth numeric
@attribute NR numeric
@attribute Age numeric
@attribute Size numeric
@attribute NFix numeric
@attribute LOC_Added numeric
@attribute ChgSetSize numeric
@attribute Max_ChgSetSize numeric
@attribute Avg_ChgSetSize numeric
@attribute Buggy {Yes,No}

@data
23,0,60,0,0,0,0,0,0,No
23,0,60,0,0,0,0,0,0,No
23,0,60,0,0,0,0,0,0,No
23,0,60,0,0,0,0,0,0,No
23,0,60,0,0,0,0,0,0,No
23,0,60,0,0,0,0,0,0,No
23,0,60,0,0,0,0,0,0,No
14,0,16,0,0,0,0,0,0,No
23,0,60,0,0,0,0,0,0,No
23,0,60,0,0,0,0,0,0,No
23,0,60,0,0,0,0,0,0,No
18,0,36,0,0,0,0,0,0,No
23,1,60,0,2,2,4,4,4,Yes
23,0,60,0,0,0,0,0,0,No
23,0,60,0,0,0,0,0,0,No
14,1,16,0,1,0,0,0,0,Yes
23,1,60,0,2,2,4,4,4,Yes
23,0,60,0,0,0,0,0,0,No
23,0,60,0,0,0,0,0,0,No
23,0,60,0,0,0,0,0,0,No
23,0,60,0,0,0,0,0,0,No
23,0,60,0,0,0,0,0,0,No
23,0,60,0,0,0,0,0,0,No
23,0,60,0,0,0,0,0,0,No
23,0,60,0,0,0,0,0,0,No
23,0,60,0,0,0,0,0,0,No
23,0,60,0,0,0,0,0,0,No
23,0,60,0,0,0,0,0,0,No
23,0,60,0,0,0,0,0,0,No
23,0,60,0,0,0,0,0,0,No
21,0,51,0,0,0,0,0,0,No
23,0,60,0,0,0,0,0,0,No
23,0,60,0,0,0,0,0,0,No
23,0,60,0,0,0,0,0,0,No
23,0,60,0,0,0,0,0,0,No
23,0,60,0,0,0,0,0,0,No
23,0,60,0,0,0,0,0,0,No
23,0,60,0,0,0,0,0,0,No
23,0,60,0,0,0,0,0,0,No
23,0,60,0,0,0,0,0,0,No
18,0,34,82,0,0,0,0,0,Yes
18,1,34,114,2,1,4,4,4,Yes
18,1,34,117,2,2,4,4,4,Yes
18,0,34,35,0,0,0,0,0,Yes
18,0,34,87,0,0,0,0,0,Yes
18,0,34,36,0,0,0,0,0,Yes
18,0,34,85,0,0,0,0,0,Yes
18,0,34,198,0,0,0,0,0,Yes
18,0,34,181,0,0,0,0,0,No
18,0,34,26,0,0,0,0,0,No
18,0,34,24,0,0,0,0,0,No
18,0,34,123,0,0,0,0,0,Yes
14,0,24,0,0,0,0,0,0,No
18,0,34,0,0,0,0,0,0,Yes
18,0,34,79,0,0,0,0,0,Yes
18,0,34,40,0,0,0,0,0,Yes
18,2,34,264,2,42,216,216,157,Yes
18,0,34,35,0,0,0,0,0,Yes
18,1,34,171,2,1,4,4,4,Yes
18,0,34,34,0,0,0,0,0,Yes
18,0,34,27,0,0,0,0,0,Yes
18,0,34,0,0,0,0,0,0,No
18,0,34,0,0,0,0,0,0,No
18,0,34,0,0,0,0,0,0,No
18,0,34,0,0,0,0,0,0,No
18,0,34,0,0,0,0,0,0,No
18,0,34,0,0,0,0,0,0,No
18,0,34,0,0,0,0,0,0,No
18,0,34,0,0,0,0,0,0,No
18,0,34,0,0,0,0,0,0,No
18,0,42,337,0,0,0,0,0,Yes
18,1,42,112,2,1,4,4,4,Yes
18,1,42,142,2,1,4,4,4,Yes
18,0,42,74,0,0,0,0,0,No
18,0,42,69,0,0,0,0,0,No
18,0,42,74,0,0,0,0,0,No
18,0,42,35,0,0,0,0,0,No
18,0,42,23,0,0,0,0,0,No
18,0,42,47,0,0,0,0,0,No
18,0,42,48,0,0,0,0,0,Yes
18,0,42,81,0,0,0,0,0,Yes
18,0,42,35,0,0,0,0,0,Yes
18,0,42,81,0,0,0,0,0,Yes
18,0,42,40,0,0,0,0,0,No
18,0,42,40,0,0,0,0,0,No
18,0,42,44,0,0,0,0,0,No
18,0,42,28,0,0,0,0,0,No
14,0,24,0,0,0,0,0,0,No
18,3,42,0,3,12,118,118,39,Yes
18,0,42,556,0,0,0,0,0,Yes
18,0,42,46,0,0,0,0,0,No
18,0,42,31,0,0,0,0,0,No
18,0,42,73,0,0,0,0,0,No
18,0,42,70,0,0,0,0,0,No
18,0,42,67,0,0,0,0,0,No
18,0,42,33,0,0,0,0,0,No
18,0,42,23,0,0,0,0,0,No
18,0,42,48,0,0,0,0,0,No
18,0,42,58,0,0,0,0,0,Yes
18,0,42,85,0,0,0,0,0,Yes
18,0,42,40,0,0,0,0,0,Yes
18,0,42,97,0,0,0,0,0,Yes
18,0,42,40,0,0,0,0,0,No
18,0,42,40,0,0,0,0,0,No
18,0,42,0,0,0,0,0,0,No
18,0,42,0,0,0,0,0,0,No
18,0,42,0,0,0,0,0,0,No
18,0,42,0,0,0,0,0,0,No
18,0,42,0,0,0,0,0,0,No
14,0,24,333,0,0,0,0,0,Yes
14,0,24,141,0,0,0,0,0,Yes
14,0,24,61,0,0,0,0,0,Yes
14,0,24,123,0,0,0,0,0,Yes
14,0,24,153,0,0,0,0,0,Yes
14,0,24,114,0,0,0,0,0,Yes
14,0,24,479,0,0,0,0,0,Yes
14,0,24,303,0,0,0,0,0,Yes
14,0,24,49,0,0,0,0,0,Yes
14,0,24,25,0,0,0,0,0,Yes
14,0,24,0,0,0,0,0,0,No
14,0,24,0,0,0,0,0,0,Yes
14,0,24,0,0,0,0,0,0,No
14,0,24,0,0,0,0,0,0,Yes
14,0,24,0,0,0,0,0,0,Yes
14,0,24,0,0,0,0,0,0,Yes
14,1,14,96,2,11,118,118,118,Yes
14,1,14,100,2,3,118,118,118,Yes
14,1,14,76,2,3,118,118,118,Yes
14,1,14,111,2,3,118,118,118,Yes
14,1,14,266,2,7,118,118,118,Yes
14,0,14,70,0,0,0,0,0,No
14,0,14,36,0,0,0,0,0,Yes
14,0,14,26,0,0,0,0,0,No
14,0,14,59,0,0,0,0,0,Yes
14,1,14,92,2,4,118,118,118,Yes
14,0,14,34,0,0,0,0,0,No
14,1,14,156,2,6,118,118,118,Yes
14,0,14,34,0,0,0,0,0,No
14,0,14,26,0,0,0,0,0,No
14,1,14,0,2,3,118,118,118,Yes
14,0,14,0,0,0,0,0,0,No
14,0,14,0,0,0,0,0,0,No
14,1,14,0,2,13,118,118,118,Yes
14,1,14,0,2,16,118,118,118,Yes
14,1,14,0,2,1,118,118,118,Yes
22,0,58,0,0,0,0,0,0,No
22,0,58,0,0,0,0,0,0,No
22,3,58,0,4,78,217,217,105,Yes
22,0,58,0,0,0,0,0,0,No
14,0,20,0,0,0,0,0,0,Yes
22,0,58,0,0,0,0,0,0,No
14,0,20,0,0,0,0,0,0,Yes
22,4,58,0,6,4,224,224,85,Yes
22,0,58,0,0,0,0,0,0,No
22,0,58,0,0,0,0,0,0,Yes
22,5,58,0,13,12,224,224,68,Yes
22,0,58,0,0,0,0,0,0,No
22,0,58,0,0,0,0,0,0,No
22,0,58,0,0,0,0,0,0,No
22,0,58,0,0,0,0,0,0,No
22,4,58,0,9,8,224,224,85,Yes
22,0,58,0,0,0,0,0,0,No
22,0,58,0,0,0,0,0,0,No
22,0,58,0,0,0,0,0,0,No
22,0,58,0,0,0,0,0,0,No
22,0,58,0,0,0,0,0,0,No
22,0,58,0,0,0,0,0,0,No
14,0,24,0,0,0,0,0,0,No
22,0,58,0,0,0,0,0,0,Yes
22,0,58,0,0,0,0,0,0,No
22,0,58,0,0,0,0,0,0,No
22,5,58,0,6,9,222,222,67,Yes
18,0,42,0,0,0,0,0,0,No
18,0,42,0,0,0,0,0,0,No
18,0,42,0,0,0,0,0,0,No
18,0,42,0,0,0,0,0,0,No
22,0,58,0,0,0,0,0,0,No
22,0,58,0,0,0,0,0,0,No
22,0,58,0,0,0,0,0,0,No
22,0,58,0,0,0,0,0,0,No
22,0,58,0,0,0,0,0,0,No
22,0,58,0,0,0,0,0,0,No
22,0,58,0,0,0,0,0,0,Yes
22,0,58,0,0,0,0,0,0,No
22,0,58,0,0,0,0,0,0,Yes
22,0,58,0,0,0,0,0,0,No
22,4,58,0,9,8,224,224,85,Yes
18,0,42,0,0,0,0,0,0,No
18,0,42,0,0,0,0,0,0,No
18,0,42,0,0,0,0,0,0,No
22,0,58,0,0,0,0,0,0,No
18,0,42,0,0,0,0,0,0,No
18,0,42,0,0,0,0,0,0,No
18,0,42,0,0,0,0,0,0,No
