Release,File,NAuth,NR,Age,Size,NFix,LOC_Added,ChgSetSize,Max_ChgSetSize,Avg_ChgSetSize,Buggy
12,examples/storm-starter/src/jvm/org/apache/storm/starter/BasicDRPCTopology.java,33,0,30,75,0,0,0,0,0,No
12,examples/storm-starter/src/jvm/org/apache/storm/starter/BlobStoreAPIWordCountTopology.java,33,0,30,300,0,0,0,0,0,No
12,examples/storm-starter/src/jvm/org/apache/storm/starter/ExclamationTopology.java,33,0,30,76,0,0,0,0,0,No
12,examples/storm-starter/src/jvm/org/apache/storm/starter/FastWordCountTopology.java,33,0,30,202,0,0,0,0,0,No
12,examples/storm-starter/src/jvm/org/apache/storm/starter/InOrderDeliveryTest.java,33,0,30,179,0,0,0,0,0,No
12,examples/storm-starter/src/jvm/org/apache/storm/starter/ManualDRPC.java,33,0,30,62,0,0,0,0,0,No
12,examples/storm-starter/src/jvm/org/apache/storm/starter/MultipleLoggerTopology.java,33,0,30,90,0,0,0,0,0,No
12,examples/storm-starter/src/jvm/org/apache/storm/starter/PrintSampleStream.java,33,0,30,0,0,0,0,0,0,No
12,examples/storm-starter/src/jvm/org/apache/storm/starter/ReachTopology.java,33,0,30,191,0,0,0,0,0,No
12,examples/storm-starter/src/jvm/org/apache/storm/starter/ResourceAwareExampleTopology.java,33,0,30,150,0,0,0,0,0,No
12,examples/storm-starter/src/jvm/org/apache/storm/starter/RollingTopWords.java,33,0,30,81,0,0,0,0,0,No
12,examples/storm-starter/src/jvm/org/apache/storm/starter/SingleJoinExample.java,33,0,30,61,0,0,0,0,0,No
12,examples/storm-starter/src/jvm/org/apache/storm/starter/SkewedRollingTopWords.java,33,0,30,86,0,0,0,0,0,No
12,examples/storm-starter/src/jvm/org/apache/storm/starter/SlidingTupleTsTopology.java,33,0,30,50,0,0,0,0,0,No
12,examples/storm-starter/src/jvm/org/apache/storm/starter/SlidingWindowTopology.java,33,6,30,94,6,12,540,540,191,No
12,examples/storm-starter/src/jvm/org/apache/storm/starter/ThroughputVsLatency.java,33,0,30,0,0,0,0,0,0,No
12,examples/storm-starter/src/jvm/org/apache/storm/starter/TransactionalGlobalCount.java,33,0,30,0,0,0,0,0,0,No
12,examples/storm-starter/src/jvm/org/apache/storm/starter/TransactionalWords.java,33,0,30,0,0,0,0,0,0,No
12,examples/storm-starter/src/jvm/org/apache/storm/starter/WordCountTopology.java,33,0,30,97,0,0,0,0,0,No
12,examples/storm-starter/src/jvm/org/apache/storm/starter/WordCountTopologyNode.java,33,0,30,108,0,0,0,0,0,No
12,examples/storm-starter/src/jvm/org/apache/storm/starter/bolt/AbstractRankerBolt.java,33,0,30,103,0,0,0,0,0,No
12,examples/storm-starter/src/jvm/org/apache/storm/starter/bolt/IntermediateRankingsBolt.java,33,0,30,53,0,0,0,0,0,No
12,examples/storm-starter/src/jvm/org/apache/storm/starter/bolt/PrinterBolt.java,33,0,30,32,0,0,0,0,0,No
12,examples/storm-starter/src/jvm/org/apache/storm/starter/bolt/RollingCountAggBolt.java,33,0,30,66,0,0,0,0,0,No
12,examples/storm-starter/src/jvm/org/apache/storm/starter/bolt/RollingCountBolt.java,33,0,30,134,0,0,0,0,0,No
12,examples/storm-starter/src/jvm/org/apache/storm/starter/bolt/SingleJoinBolt.java,33,0,30,119,0,0,0,0,0,No
12,examples/storm-starter/src/jvm/org/apache/storm/starter/bolt/SlidingWindowSumBolt.java,33,0,30,74,0,0,0,0,0,No
12,examples/storm-starter/src/jvm/org/apache/storm/starter/bolt/TotalRankingsBolt.java,33,0,30,54,0,0,0,0,0,No
12,examples/storm-starter/src/jvm/org/apache/storm/starter/spout/RandomIntegerSpout.java,33,0,30,63,0,0,0,0,0,No
