Release,File,NAuth,NR,Age,Size,NFix,LOC_Added,ChgSetSize,Max_ChgSetSize,Avg_ChgSetSize,Buggy
5,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java,4,0,51,244,0,0,0,0,0,No
5,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java,4,2,51,267,2,8,80,80,60,Yes
5,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java,4,2,51,470,2,10,80,80,60,Yes
5,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,4,2,65,0,2,10,80,80,60,Yes
5,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,4,2,65,299,2,4,80,80,60,Yes
5,bookkeeper-benchmark/src/test/java/org/apache/bookkeeper/benchmark/TestBenchmark.java,4,0,51,131,0,0,0,0,0,No
5,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,4,3,65,1657,13,17,80,80,66,Yes
5,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieBean.java,4,0,58,0,0,0,0,0,0,No
5,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,4,2,65,327,2,8,80,80,60,Yes
5,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieMXBean.java,4,0,58,0,0,0,0,0,0,No
5,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieShell.java,4,0,39,2165,0,0,0,0,0,No
5,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,4,0,65,287,0,0,0,0,0,No
5,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Cookie.java,4,2,51,452,4,16,80,80,60,Yes
5,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,4,2,65,1249,4,10,80,80,60,Yes
5,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/ExitCode.java,4,0,51,40,0,0,0,0,0,No
5,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,4,3,65,579,5,12,82,82,67,Yes
