@relation bookkeeper_release_8-weka.filters.unsupervised.attribute.Remove-R1-2

@attribute NAuth numeric
@attribute NR numeric
@attribute Age numeric
@attribute Size numeric
@attribute NFix numeric
@attribute LOC_Added numeric
@attribute ChgSetSize numeric
@attribute Max_ChgSetSize numeric
@attribute Avg_ChgSetSize numeric
@attribute Buggy {Yes,No}

@data
4,0,113,244,0,0,0,0,0,No
4,0,113,267,0,0,0,0,0,No
4,0,113,470,0,0,0,0,0,No
4,0,127,0,0,0,0,0,0,No
4,0,127,299,0,0,0,0,0,No
4,0,113,131,0,0,0,0,0,No
4,1,127,1657,18,7,0,0,0,No
4,0,120,0,0,0,0,0,0,No
3,0,19,45,0,0,0,0,0,No
4,0,127,327,0,0,0,0,0,No
4,0,120,0,0,0,0,0,0,No
4,1,102,2165,5,442,2,2,2,Yes
3,0,33,57,0,0,0,0,0,No
4,0,127,287,0,0,0,0,0,No
3,0,16,58,0,0,0,0,0,No
3,0,16,107,0,0,0,0,0,No
3,0,56,93,0,0,0,0,0,No
4,0,113,452,0,0,0,0,0,No
3,0,31,87,0,0,0,0,0,No
4,0,127,1249,0,0,0,0,0,No
4,0,113,40,0,0,0,0,0,No
4,0,127,579,0,0,0,0,0,No
4,0,118,388,0,0,0,0,0,No
4,0,75,49,0,0,0,0,0,No
4,0,113,595,0,0,0,0,0,No
4,0,113,32,0,0,0,0,0,No
4,0,113,73,0,0,0,0,0,No
3,0,33,673,0,0,0,0,0,Yes
3,0,33,721,0,0,0,0,0,No
4,0,110,664,0,0,0,0,0,No
4,0,110,1199,0,0,0,0,0,No
4,0,120,306,0,0,0,0,0,No
3,0,31,31,0,0,0,0,0,No
4,0,127,117,0,0,0,0,0,No
4,0,120,0,0,0,0,0,0,No
4,0,113,238,0,0,0,0,0,No
4,0,120,0,0,0,0,0,0,No
4,0,127,93,0,0,0,0,0,No
4,0,113,182,0,0,0,0,0,No
4,0,113,53,0,0,0,0,0,No
4,0,84,424,0,0,0,0,0,No
4,0,127,332,0,0,0,0,0,No
4,0,110,278,0,0,0,0,0,No
3,0,56,85,0,0,0,0,0,No
4,0,127,0,0,0,0,0,0,No
4,0,102,48,0,0,0,0,0,No
4,0,102,42,0,0,0,0,0,No
4,0,75,293,0,0,0,0,0,No
3,0,51,214,0,0,0,0,0,No
4,0,127,304,0,0,0,0,0,No
4,1,127,489,3,12,15,15,15,No
4,2,127,1511,10,111,15,15,7,No
4,2,127,1703,9,9,22,22,18,No
3,0,18,136,0,0,0,0,0,No
4,1,127,67,4,6,15,15,15,No
3,0,40,35,0,0,0,0,0,No
4,0,127,0,0,0,0,0,0,No
3,0,49,226,0,0,0,0,0,No
4,0,127,0,0,0,0,0,0,No
4,0,127,257,0,0,0,0,0,No
3,0,49,487,0,0,0,0,0,No
4,1,93,423,2,4,15,15,15,No
4,0,127,436,0,0,0,0,0,No
4,0,127,147,0,0,0,0,0,No
4,0,127,112,0,0,0,0,0,No
4,0,93,227,0,0,0,0,0,No
4,1,92,453,3,3,15,15,15,No
4,1,127,2064,17,19,15,15,15,No
4,0,127,0,0,0,0,0,0,No
4,1,127,279,4,2,15,15,15,No
4,0,127,231,0,0,0,0,0,No
4,0,127,0,0,0,0,0,0,No
4,1,127,526,8,4,15,15,15,Yes
4,1,127,646,13,26,15,15,15,No
3,0,49,251,0,0,0,0,0,No
4,1,127,163,4,7,15,15,15,No
4,0,127,352,0,0,0,0,0,No
4,0,127,456,0,0,0,0,0,No
4,0,127,85,0,0,0,0,0,No
4,0,127,1192,0,0,0,0,0,No
4,0,127,1913,0,0,0,0,0,Yes
3,0,49,48,0,0,0,0,0,No
4,1,127,3351,12,24,1,1,1,Yes
4,0,120,0,0,0,0,0,0,No
4,0,120,0,0,0,0,0,0,No
4,1,127,650,4,13,8,8,8,No
4,0,127,138,0,0,0,0,0,No
4,1,102,90,2,1,8,8,8,No
4,0,127,126,0,0,0,0,0,No
4,1,102,47,2,1,8,8,8,No
4,0,127,130,0,0,0,0,0,No
4,0,127,215,0,0,0,0,0,No
4,0,127,115,0,0,0,0,0,No
4,1,94,253,2,10,2,2,2,No
4,1,76,818,1,119,8,8,8,No
