@relation storm_release_4-weka.filters.unsupervised.attribute.Remove-R1-2

@attribute NAuth numeric
@attribute NR numeric
@attribute Age numeric
@attribute Size numeric
@attribute NFix numeric
@attribute LOC_Added numeric
@attribute ChgSetSize numeric
@attribute Max_ChgSetSize numeric
@attribute Avg_ChgSetSize numeric
@attribute Buggy {Yes,No}

@data
14,1,33,0,1,78,132,132,132,Yes
14,1,33,0,1,87,132,132,132,No
14,1,33,0,1,68,132,132,132,No
14,1,33,0,1,58,132,132,132,No
14,1,33,0,1,196,132,132,132,No
14,1,33,0,1,132,132,132,132,No
14,1,33,0,1,64,132,132,132,No
14,1,33,0,1,173,132,132,132,No
14,1,33,0,1,246,132,132,132,No
14,1,33,0,1,107,132,132,132,No
14,1,33,0,1,110,132,132,132,Yes
14,1,33,0,1,58,132,132,132,No
14,1,33,0,1,37,132,132,132,No
14,1,33,0,1,142,132,132,132,Yes
14,1,33,0,1,114,132,132,132,No
14,1,33,0,1,59,132,132,132,No
14,1,33,0,1,64,132,132,132,No
14,1,33,0,1,164,132,132,132,No
14,1,33,0,1,70,132,132,132,No
14,1,33,0,1,32,132,132,132,No
14,1,33,0,1,148,132,132,132,No
14,1,33,0,1,156,132,132,132,No
14,1,33,0,1,119,132,132,132,No
14,1,33,0,1,118,132,132,132,No
14,1,33,0,1,156,132,132,132,No
14,1,33,0,1,85,132,132,132,No
14,2,33,0,2,49,230,230,181,Yes
14,1,33,0,1,33,132,132,132,No
14,1,33,0,1,146,132,132,132,No
14,1,33,0,1,113,132,132,132,No
14,1,33,0,1,147,132,132,132,No
14,1,33,0,1,40,132,132,132,No
14,1,33,0,1,125,132,132,132,No
14,1,33,0,1,252,132,132,132,No
14,1,33,0,1,368,132,132,132,No
14,1,33,0,1,106,132,132,132,No
14,1,33,0,1,181,132,132,132,No
13,1,30,0,1,86,132,132,132,No
13,1,30,0,1,25,132,132,132,No
13,1,30,0,1,147,132,132,132,Yes
13,1,30,0,1,94,132,132,132,No
13,1,30,0,1,29,132,132,132,No
13,2,30,0,2,53,140,140,74,Yes
13,1,30,0,1,43,132,132,132,No
13,1,30,0,1,195,132,132,132,No
13,2,30,0,2,273,230,230,181,Yes
13,1,30,0,1,28,132,132,132,No
13,1,30,0,1,37,132,132,132,No
13,1,30,0,1,69,132,132,132,No
13,1,30,0,1,28,132,132,132,No
13,2,30,0,2,275,230,230,181,Yes
13,1,30,0,1,36,132,132,132,No
13,1,30,0,1,51,132,132,132,No
13,1,30,0,1,38,132,132,132,No
13,1,30,0,1,52,132,132,132,No
13,1,30,0,1,37,132,132,132,No
13,1,30,0,1,46,132,132,132,No
13,1,30,0,1,113,132,132,132,No
13,1,30,0,1,36,132,132,132,No
13,1,30,0,1,116,132,132,132,No
13,1,30,0,1,89,132,132,132,Yes
13,1,30,0,1,50,132,132,132,No
13,1,30,0,1,31,132,132,132,No
13,1,30,0,1,98,132,132,132,No
13,1,30,0,1,26,132,132,132,No
13,1,30,0,1,25,132,132,132,No
13,1,30,0,1,40,132,132,132,No
13,1,30,0,1,59,132,132,132,No
13,1,30,0,1,36,132,132,132,No
13,1,30,0,1,58,132,132,132,No
13,1,30,0,1,37,132,132,132,No
13,1,30,0,1,268,132,132,132,Yes
13,1,30,0,1,70,132,132,132,No
13,1,30,0,1,172,132,132,132,Yes
13,1,30,0,1,56,132,132,132,No
13,1,30,0,1,92,132,132,132,No
13,2,30,0,2,245,230,230,181,Yes
13,1,30,0,1,55,132,132,132,No
13,1,30,0,1,37,132,132,132,No
13,1,30,0,1,147,132,132,132,No
13,1,30,0,1,188,132,132,132,Yes
14,0,39,72,0,0,0,0,0,No
16,16,45,0,18,985,278,278,93,Yes
16,4,45,0,5,365,234,234,93,Yes
16,1,45,0,1,2,98,98,98,Yes
16,1,45,0,1,2,98,98,98,Yes
16,0,45,0,0,0,0,0,0,No
16,2,45,0,2,289,230,230,181,Yes
16,0,45,0,0,0,0,0,0,No
16,0,45,0,0,0,0,0,0,No
16,0,45,0,0,0,0,0,0,No
16,0,45,0,0,0,0,0,0,No
16,0,45,0,0,0,0,0,0,No
16,0,45,0,0,0,0,0,0,No
16,0,45,0,0,0,0,0,0,No
16,0,45,0,0,0,0,0,0,No
16,0,45,0,0,0,0,0,0,No
16,0,45,0,0,0,0,0,0,No
16,0,45,0,0,0,0,0,0,No
16,1,45,0,1,54,98,98,98,Yes
16,1,45,0,1,92,98,98,98,Yes
16,0,45,0,0,0,0,0,0,No
16,0,45,0,0,0,0,0,0,No
16,0,45,0,0,0,0,0,0,No
16,0,45,0,0,0,0,0,0,No
16,0,45,0,0,0,0,0,0,No
16,1,45,0,1,32,98,98,98,Yes
16,0,45,0,0,0,0,0,0,Yes
16,0,45,0,0,0,0,0,0,Yes
16,0,45,0,0,0,0,0,0,Yes
16,0,45,0,0,0,0,0,0,Yes
16,0,45,0,0,0,0,0,0,Yes
16,0,45,0,0,0,0,0,0,Yes
16,0,45,0,0,0,0,0,0,Yes
16,0,45,0,0,0,0,0,0,Yes
16,1,45,0,1,104,98,98,98,Yes
16,1,45,0,1,333,98,98,98,Yes
16,1,45,0,1,186,132,132,132,Yes
16,0,45,0,0,0,0,0,0,Yes
16,0,45,0,0,0,0,0,0,Yes
16,0,45,0,0,0,0,0,0,Yes
16,0,45,0,0,0,0,0,0,Yes
16,0,45,0,0,0,0,0,0,Yes
16,0,45,0,0,0,0,0,0,Yes
16,0,45,0,0,0,0,0,0,Yes
16,0,45,0,0,0,0,0,0,Yes
16,0,45,0,0,0,0,0,0,Yes
16,0,45,0,0,0,0,0,0,Yes
16,1,45,0,1,2887,98,98,98,Yes
16,0,45,0,0,0,0,0,0,Yes
16,0,45,0,0,0,0,0,0,Yes
16,0,45,0,0,0,0,0,0,Yes
16,0,45,0,0,0,0,0,0,Yes
16,0,45,0,0,0,0,0,0,Yes
16,0,45,0,0,0,0,0,0,Yes
16,0,45,0,0,0,0,0,0,Yes
16,0,45,0,0,0,0,0,0,Yes
16,0,45,0,0,0,0,0,0,Yes
16,1,45,0,1,97,98,98,98,Yes
16,0,45,0,0,0,0,0,0,Yes
16,1,45,0,1,191,98,98,98,Yes
16,0,45,0,0,0,0,0,0,Yes
16,1,45,0,1,191,98,98,98,Yes
16,0,45,0,0,0,0,0,0,No
16,0,45,0,0,0,0,0,0,No
16,0,45,0,0,0,0,0,0,No
16,0,45,0,0,0,0,0,0,No
16,0,45,0,0,0,0,0,0,No
16,0,45,0,0,0,0,0,0,No
16,0,45,0,0,0,0,0,0,No
16,0,45,0,0,0,0,0,0,No
16,0,45,0,0,0,0,0,0,No
16,1,45,0,1,13,132,132,132,Yes
16,0,45,0,0,0,0,0,0,No
16,0,45,0,0,0,0,0,0,No
16,0,45,0,0,0,0,0,0,No
16,5,45,0,5,317,261,261,98,Yes
16,1,45,0,1,51,132,132,132,Yes
16,3,45,0,3,10,246,246,136,Yes
16,1,45,0,1,10,132,132,132,No
16,3,45,0,3,131,246,246,136,Yes
16,2,45,0,2,8,114,114,65,Yes
13,1,23,0,1,52,132,132,132,Yes
16,3,45,0,3,222,246,246,136,Yes
13,1,23,0,1,41,132,132,132,No
16,4,45,0,4,46,253,253,111,Yes
16,2,45,0,2,19,230,230,181,Yes
16,3,45,0,3,59,121,121,53,Yes
