Release,File,NAuth,NR,Age,Size,NFix,LOC_Added,ChgSetSize,Max_ChgSetSize,Avg_ChgSetSize,Buggy
3,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java,3,0,41,244,0,0,0,0,0,No
3,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java,3,0,41,267,0,0,0,0,0,Yes
3,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java,3,0,41,470,0,0,0,0,0,Yes
3,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,3,0,55,0,0,0,0,0,0,Yes
3,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,3,0,55,299,0,0,0,0,0,Yes
3,bookkeeper-benchmark/src/test/java/org/apache/bookkeeper/benchmark/TestBenchmark.java,3,1,41,131,1,19,28,28,28,Yes
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,3,8,55,1657,10,273,63,63,36,Yes
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieBean.java,3,0,48,0,0,0,0,0,0,No
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,3,0,55,327,0,0,0,0,0,Yes
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieMXBean.java,3,0,48,0,0,0,0,0,0,No
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieShell.java,3,2,29,2165,2,91,3,3,2,Yes
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,3,0,55,287,0,0,0,0,0,No
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Cookie.java,3,2,41,452,2,6,20,20,15,Yes
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,3,2,55,1249,2,30,1,1,0,Yes
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/ExitCode.java,3,0,41,40,0,0,0,0,0,No
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,3,1,55,579,2,40,11,11,11,Yes
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileSystemUpgrade.java,3,0,46,388,0,0,0,0,0,Yes
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/GarbageCollectorThread.java,3,2,41,595,2,68,3,3,1,No
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/HandleFactory.java,3,0,41,32,0,0,0,0,0,No
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/HandleFactoryImpl.java,3,0,41,73,0,0,0,0,0,No
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/InterleavedLedgerStorage.java,3,2,37,664,2,13,14,14,12,No
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Journal.java,3,3,37,1199,3,14,4,4,2,Yes
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/JournalChannel.java,3,1,48,306,2,2,11,11,11,Yes
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,3,1,55,117,2,4,11,11,11,No
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheBean.java,3,0,48,0,0,0,0,0,0,No
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheImpl.java,3,3,41,238,3,80,15,15,9,Yes
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheMXBean.java,3,0,48,0,0,0,0,0,0,No
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,3,1,55,93,2,2,11,11,11,No
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptorImpl.java,3,1,41,182,1,4,11,11,11,No
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptorReadOnlyImpl.java,3,1,41,53,1,1,11,11,11,No
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,3,0,55,332,0,0,0,0,0,No
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerStorage.java,3,1,37,278,1,19,11,11,11,No
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,3,0,55,0,0,0,0,0,0,No
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/ReadOnlyEntryLogger.java,3,0,29,48,0,0,0,0,0,No
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/ReadOnlyFileInfo.java,3,0,29,42,0,0,0,0,0,No
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,3,0,55,304,0,0,0,0,0,No
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,3,0,55,489,0,0,0,0,0,Yes
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,3,6,55,1511,6,31,37,37,21,Yes
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,3,4,55,1703,5,80,24,24,15,Yes
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,3,1,55,67,1,7,6,6,6,Yes
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java,3,0,55,0,0,0,0,0,0,No
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java,3,0,55,0,0,0,0,0,0,No
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,3,1,55,257,1,13,4,4,4,No
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,3,1,55,436,1,1,10,10,10,Yes
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java,3,2,55,147,2,10,8,8,6,Yes
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java,3,0,55,112,0,0,0,0,0,No
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,3,10,55,2064,11,309,40,40,20,Yes
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,3,6,55,0,7,175,44,44,24,Yes
3,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,3,2,55,279,3,6,8,8,6,Yes
