Release,File,NAuth,NR,Age,Size,NFix,LOC_Added,ChgSetSize,Max_ChgSetSize,Avg_ChgSetSize,Buggy
2,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,3,0,24,0,0,0,0,0,0,Yes
2,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,3,0,24,299,0,0,0,0,0,Yes
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,3,2,24,1657,2,72,23,23,16,Yes
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,3,0,24,327,0,0,0,0,0,Yes
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,3,0,24,287,0,0,0,0,0,No
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,3,0,24,1249,0,0,0,0,0,Yes
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,3,1,24,579,1,75,10,10,10,Yes
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,3,1,24,117,1,8,10,10,10,Yes
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,3,1,24,93,1,36,10,10,10,Yes
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,3,0,24,332,0,0,0,0,0,No
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,3,0,24,0,0,0,0,0,0,No
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,3,0,24,304,0,0,0,0,0,No
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,3,1,24,489,1,11,13,13,13,Yes
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,3,0,24,1511,0,0,0,0,0,Yes
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,3,1,24,1703,1,73,8,8,8,Yes
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,3,0,24,67,0,0,0,0,0,Yes
