@relation storm_release_13-weka.filters.unsupervised.attribute.Remove-R1-2

@attribute NAuth numeric
@attribute NR numeric
@attribute Age numeric
@attribute Size numeric
@attribute NFix numeric
@attribute LOC_Added numeric
@attribute ChgSetSize numeric
@attribute Max_ChgSetSize numeric
@attribute Avg_ChgSetSize numeric
@attribute Buggy {Yes,No}

@data
35,0,34,75,0,0,0,0,0,No
35,0,34,300,0,0,0,0,0,No
35,0,34,76,0,0,0,0,0,No
35,0,34,202,0,0,0,0,0,No
35,0,34,179,0,0,0,0,0,No
35,0,34,62,0,0,0,0,0,No
35,0,34,90,0,0,0,0,0,No
35,0,34,0,0,0,0,0,0,No
35,0,34,191,0,0,0,0,0,No
35,0,34,150,0,0,0,0,0,No
35,0,34,81,0,0,0,0,0,No
35,0,34,61,0,0,0,0,0,Yes
35,0,34,86,0,0,0,0,0,No
35,0,34,50,0,0,0,0,0,No
35,0,34,94,0,0,0,0,0,No
35,0,34,0,0,0,0,0,0,No
35,0,34,0,0,0,0,0,0,No
35,0,34,0,0,0,0,0,0,No
35,0,34,97,0,0,0,0,0,No
35,0,34,108,0,0,0,0,0,No
35,0,34,103,0,0,0,0,0,No
35,0,34,53,0,0,0,0,0,No
35,0,34,32,0,0,0,0,0,No
35,0,34,66,0,0,0,0,0,No
35,0,34,134,0,0,0,0,0,No
35,0,34,119,0,0,0,0,0,Yes
35,0,34,74,0,0,0,0,0,No
35,0,34,54,0,0,0,0,0,No
35,0,34,63,0,0,0,0,0,No
35,0,28,88,0,0,0,0,0,No
35,0,34,94,0,0,0,0,0,No
35,0,34,0,0,0,0,0,0,No
35,0,34,65,0,0,0,0,0,No
35,0,34,27,0,0,0,0,0,No
35,0,34,142,0,0,0,0,0,No
35,0,34,150,0,0,0,0,0,No
35,0,34,115,0,0,0,0,0,No
35,0,34,106,0,0,0,0,0,No
27,0,23,80,0,0,0,0,0,No
35,0,34,0,0,0,0,0,0,Yes
35,0,30,116,0,0,0,0,0,No
35,0,28,188,0,0,0,0,0,No
35,0,28,166,0,0,0,0,0,No
35,0,34,152,0,0,0,0,0,No
27,0,23,73,0,0,0,0,0,No
