@relation bookkeeper_release_2-weka.filters.unsupervised.attribute.Remove-R1-2

@attribute NAuth numeric
@attribute NR numeric
@attribute Age numeric
@attribute Size numeric
@attribute NFix numeric
@attribute LOC_Added numeric
@attribute ChgSetSize numeric
@attribute Max_ChgSetSize numeric
@attribute Avg_ChgSetSize numeric
@attribute Buggy {Yes,No}

@data
3,0,24,0,0,0,0,0,0,Yes
3,0,24,299,0,0,0,0,0,Yes
3,2,24,1657,2,72,23,23,16,Yes
3,0,24,327,0,0,0,0,0,Yes
3,0,24,287,0,0,0,0,0,No
3,0,24,1249,0,0,0,0,0,Yes
3,1,24,579,1,75,10,10,10,Yes
3,1,24,117,1,8,10,10,10,Yes
3,1,24,93,1,36,10,10,10,Yes
3,0,24,332,0,0,0,0,0,No
3,0,24,0,0,0,0,0,0,No
3,0,24,304,0,0,0,0,0,No
3,1,24,489,1,11,13,13,13,Yes
3,0,24,1511,0,0,0,0,0,Yes
3,1,24,1703,1,73,8,8,8,Yes
3,0,24,67,0,0,0,0,0,Yes
3,0,24,0,0,0,0,0,0,No
3,0,24,0,0,0,0,0,0,No
3,0,24,257,0,0,0,0,0,No
3,0,24,436,0,0,0,0,0,Yes
3,0,24,147,0,0,0,0,0,Yes
3,0,24,112,0,0,0,0,0,No
3,1,24,2064,1,95,8,8,8,Yes
3,1,24,0,1,44,8,8,8,Yes
3,1,24,279,1,5,13,13,13,Yes
3,2,24,231,2,4,21,21,14,Yes
3,0,24,0,0,0,0,0,0,Yes
3,1,24,526,1,4,13,13,13,Yes
3,2,24,646,2,16,21,21,14,Yes
3,1,24,163,1,15,13,13,13,Yes
3,0,24,352,0,0,0,0,0,Yes
3,0,24,456,0,0,0,0,0,No
3,0,24,85,0,0,0,0,0,No
3,0,24,1192,0,0,0,0,0,Yes
3,1,24,1913,1,9,2,2,2,Yes
3,1,24,3351,1,8,2,2,2,Yes
3,0,24,650,0,0,0,0,0,Yes
3,0,24,138,0,0,0,0,0,Yes
3,0,24,126,0,0,0,0,0,Yes
3,0,24,130,0,0,0,0,0,No
3,0,24,215,0,0,0,0,0,No
3,0,24,115,0,0,0,0,0,Yes
3,1,24,242,1,22,13,13,13,Yes
3,1,24,526,1,10,13,13,13,No
3,2,24,327,2,20,23,23,16,Yes
3,0,24,347,0,0,0,0,0,No
3,0,24,0,0,0,0,0,0,Yes
3,2,24,2524,2,96,13,13,6,Yes
3,0,24,0,0,0,0,0,0,No
3,0,24,176,0,0,0,0,0,No
3,0,24,147,0,0,0,0,0,No
3,0,24,0,0,0,0,0,0,No
3,1,24,550,1,3,10,10,10,Yes
3,0,24,0,0,0,0,0,0,No
3,0,24,0,0,0,0,0,0,No
3,0,24,0,0,0,0,0,0,Yes
3,0,24,81,0,0,0,0,0,No
3,0,24,182,0,0,0,0,0,Yes
3,0,24,323,0,0,0,0,0,Yes
1,1,10,0,1,6,10,10,10,No
3,0,24,0,0,0,0,0,0,No
3,0,24,140,0,0,0,0,0,No
3,3,24,853,3,157,31,31,19,Yes
1,0,10,0,0,0,0,0,0,No
3,2,24,430,2,40,21,21,14,Yes
3,0,24,0,0,0,0,0,0,No
3,0,24,0,0,0,0,0,0,No
3,0,24,0,0,0,0,0,0,No
3,0,24,0,0,0,0,0,0,No
3,0,24,0,0,0,0,0,0,No
3,0,24,0,0,0,0,0,0,Yes
3,0,24,349,0,0,0,0,0,Yes
3,0,24,0,0,0,0,0,0,No
3,0,24,262,0,0,0,0,0,No
3,1,24,0,1,5,10,10,10,No
3,2,24,343,2,15,13,13,6,No
