@relation storm_release_12-weka.filters.unsupervised.attribute.Remove-R1-2

@attribute NAuth numeric
@attribute NR numeric
@attribute Age numeric
@attribute Size numeric
@attribute NFix numeric
@attribute LOC_Added numeric
@attribute ChgSetSize numeric
@attribute Max_ChgSetSize numeric
@attribute Avg_ChgSetSize numeric
@attribute Buggy {Yes,No}

@data
33,0,30,75,0,0,0,0,0,No
33,0,30,300,0,0,0,0,0,No
33,0,30,76,0,0,0,0,0,No
33,0,30,202,0,0,0,0,0,No
33,0,30,179,0,0,0,0,0,No
33,0,30,62,0,0,0,0,0,No
33,0,30,90,0,0,0,0,0,No
33,0,30,0,0,0,0,0,0,No
33,0,30,191,0,0,0,0,0,No
33,0,30,150,0,0,0,0,0,No
33,0,30,81,0,0,0,0,0,No
33,0,30,61,0,0,0,0,0,No
33,0,30,86,0,0,0,0,0,No
33,0,30,50,0,0,0,0,0,No
33,6,30,94,6,12,540,540,191,No
33,0,30,0,0,0,0,0,0,No
33,0,30,0,0,0,0,0,0,No
33,0,30,0,0,0,0,0,0,No
33,0,30,97,0,0,0,0,0,No
33,0,30,108,0,0,0,0,0,No
33,0,30,103,0,0,0,0,0,No
33,0,30,53,0,0,0,0,0,No
33,0,30,32,0,0,0,0,0,No
33,0,30,66,0,0,0,0,0,No
33,0,30,134,0,0,0,0,0,No
33,0,30,119,0,0,0,0,0,No
33,0,30,74,0,0,0,0,0,No
33,0,30,54,0,0,0,0,0,No
33,0,30,63,0,0,0,0,0,No
33,0,24,88,0,0,0,0,0,No
33,0,30,94,0,0,0,0,0,No
33,5,30,0,6,30,566,566,279,No
33,0,30,65,0,0,0,0,0,No
33,0,30,27,0,0,0,0,0,No
33,0,30,142,0,0,0,0,0,No
33,0,30,150,0,0,0,0,0,No
33,0,30,115,0,0,0,0,0,No
33,0,30,106,0,0,0,0,0,No
25,0,19,80,0,0,0,0,0,No
33,7,30,0,7,285,538,538,187,Yes
33,0,26,116,0,0,0,0,0,No
33,0,24,188,0,0,0,0,0,No
33,0,24,166,0,0,0,0,0,No
33,0,30,152,0,0,0,0,0,No
25,0,19,73,0,0,0,0,0,No
33,5,30,82,5,35,472,472,172,Yes
33,0,30,0,0,0,0,0,0,No
33,3,29,0,3,30,470,470,286,No
33,0,30,0,0,0,0,0,0,No
33,0,27,0,0,0,0,0,0,No
33,0,30,0,0,0,0,0,0,No
33,0,30,0,0,0,0,0,0,No
33,0,30,0,0,0,0,0,0,No
33,0,30,0,0,0,0,0,0,Yes
33,0,30,0,0,0,0,0,0,No
33,0,30,0,0,0,0,0,0,No
33,0,30,0,0,0,0,0,0,No
33,0,30,0,0,0,0,0,0,No
43,0,61,0,0,0,0,0,0,No
43,6,61,0,7,48,539,539,190,No
43,0,61,0,0,0,0,0,0,No
43,0,61,0,0,0,0,0,0,No
43,0,61,0,0,0,0,0,0,No
43,0,61,0,0,0,0,0,0,No
43,0,61,0,0,0,0,0,0,No
43,0,61,0,0,0,0,0,0,No
43,0,61,0,0,0,0,0,0,No
43,0,61,0,0,0,0,0,0,No
43,0,61,0,0,0,0,0,0,No
43,0,61,0,0,0,0,0,0,No
43,0,61,0,0,0,0,0,0,No
