Dataset,#TrainingRelease,%Training,%TrainDefective,%TestDefective,Classifier,Sampling,Feature Selection,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
storm,9,0.504,0.186,0.006,Naive Bayes,Oversampling,Backward Selection,4.000,64.000,1446.000,48.000,0.059,0.077,0.632,0.030
storm,9,0.504,0.186,0.006,Naive Bayes,Undersampling,No Selection,6.000,61.000,1449.000,46.000,0.090,0.115,0.701,0.066
storm,9,0.504,0.186,0.006,Naive Bayes,Undersampling,Backward Selection,6.000,98.000,1412.000,46.000,0.058,0.115,0.621,0.034
storm,9,0.504,0.186,0.006,Naive Bayes,SMOTE,No Selection,9.000,61.000,1449.000,43.000,0.129,0.173,0.705,0.114
storm,9,0.504,0.186,0.006,Naive Bayes,SMOTE,Backward Selection,4.000,72.000,1438.000,48.000,0.053,0.077,0.641,0.024
storm,9,0.504,0.186,0.006,Random Forest,No Sampling,No Selection,10.000,17.000,1493.000,42.000,0.370,0.192,0.636,0.236
storm,9,0.504,0.186,0.006,Random Forest,No Sampling,Backward Selection,11.000,71.000,1439.000,41.000,0.134,0.212,0.676,0.129
storm,9,0.504,0.186,0.006,Random Forest,Oversampling,No Selection,9.000,18.000,1492.000,43.000,0.333,0.173,0.639,0.210
storm,9,0.504,0.186,0.006,Random Forest,Oversampling,Backward Selection,8.000,32.000,1478.000,44.000,0.200,0.154,0.654,0.149
storm,9,0.504,0.186,0.006,Random Forest,Undersampling,No Selection,16.000,109.000,1401.000,36.000,0.128,0.308,0.626,0.140
storm,9,0.504,0.186,0.006,Random Forest,Undersampling,Backward Selection,16.000,127.000,1383.000,36.000,0.112,0.308,0.657,0.121
storm,9,0.504,0.186,0.006,Random Forest,SMOTE,No Selection,12.000,54.000,1456.000,40.000,0.182,0.231,0.595,0.173
storm,9,0.504,0.186,0.006,Random Forest,SMOTE,Backward Selection,12.000,90.000,1420.000,40.000,0.118,0.231,0.652,0.117
storm,9,0.504,0.186,0.006,IBk,No Sampling,No Selection,13.000,59.000,1451.000,39.000,0.181,0.250,0.643,0.178
storm,9,0.504,0.186,0.006,IBk,No Sampling,Backward Selection,11.000,84.000,1426.000,41.000,0.116,0.212,0.656,0.111
storm,9,0.504,0.186,0.006,IBk,Oversampling,No Selection,14.000,59.000,1451.000,38.000,0.192,0.269,0.629,0.193
storm,9,0.504,0.186,0.006,IBk,Oversampling,Backward Selection,11.000,89.000,1421.000,41.000,0.110,0.212,0.649,0.106
storm,9,0.504,0.186,0.006,IBk,Undersampling,No Selection,18.000,142.000,1368.000,34.000,0.113,0.346,0.630,0.126
storm,9,0.504,0.186,0.006,IBk,Undersampling,Backward Selection,17.000,137.000,1373.000,35.000,0.110,0.327,0.677,0.121
storm,9,0.504,0.186,0.006,IBk,SMOTE,No Selection,14.000,110.000,1400.000,38.000,0.113,0.269,0.628,0.118
storm,9,0.504,0.186,0.006,IBk,SMOTE,Backward Selection,15.000,146.000,1364.000,37.000,0.093,0.288,0.661,0.095
storm,10,0.599,0.162,0.022,Naive Bayes,No Sampling,No Selection,11.000,23.000,1320.000,208.000,0.324,0.050,0.518,0.051
storm,10,0.599,0.162,0.022,Naive Bayes,No Sampling,Backward Selection,0.000,0.000,1343.000,219.000,NaN,0.000,0.531,0.000
storm,10,0.599,0.162,0.022,Naive Bayes,Oversampling,No Selection,11.000,23.000,1320.000,208.000,0.324,0.050,0.518,0.051
storm,10,0.599,0.162,0.022,Naive Bayes,Oversampling,Backward Selection,0.000,0.000,1343.000,219.000,NaN,0.000,0.531,0.000
storm,10,0.599,0.162,0.022,Naive Bayes,Undersampling,No Selection,11.000,23.000,1320.000,208.000,0.324,0.050,0.522,0.051
storm,10,0.599,0.162,0.022,Naive Bayes,Undersampling,Backward Selection,0.000,0.000,1343.000,219.000,NaN,0.000,0.531,0.000
storm,10,0.599,0.162,0.022,Naive Bayes,SMOTE,No Selection,11.000,24.000,1319.000,208.000,0.314,0.050,0.521,0.050
storm,10,0.599,0.162,0.022,Naive Bayes,SMOTE,Backward Selection,0.000,0.000,1343.000,219.000,NaN,0.000,0.531,0.000
storm,10,0.599,0.162,0.022,Random Forest,No Sampling,No Selection,16.000,31.000,1312.000,203.000,0.340,0.073,0.562,0.074
storm,10,0.599,0.162,0.022,Random Forest,No Sampling,Backward Selection,0.000,0.000,1343.000,219.000,NaN,0.000,0.514,0.000
storm,10,0.599,0.162,0.022,Random Forest,Oversampling,No Selection,14.000,32.000,1311.000,205.000,0.304,0.064,0.557,0.060
storm,10,0.599,0.162,0.022,Random Forest,Oversampling,Backward Selection,0.000,0.000,1343.000,219.000,NaN,0.000,0.509,0.000
storm,10,0.599,0.162,0.022,Random Forest,Undersampling,No Selection,22.000,45.000,1298.000,197.000,0.328,0.100,0.592,0.094
storm,10,0.599,0.162,0.022,Random Forest,Undersampling,Backward Selection,8.000,52.000,1291.000,211.000,0.133,0.037,0.518,-0.003
storm,10,0.599,0.162,0.022,Random Forest,SMOTE,No Selection,14.000,31.000,1312.000,205.000,0.311,0.064,0.577,0.061
storm,10,0.599,0.162,0.022,Random Forest,SMOTE,Backward Selection,0.000,0.000,1343.000,219.000,NaN,0.000,0.517,0.000
storm,10,0.599,0.162,0.022,IBk,No Sampling,No Selection,16.000,32.000,1311.000,203.000,0.333,0.073,0.553,0.073
storm,10,0.599,0.162,0.022,IBk,No Sampling,Backward Selection,0.000,0.000,1343.000,219.000,NaN,0.000,0.516,0.000
storm,10,0.599,0.162,0.022,IBk,Oversampling,No Selection,14.000,32.000,1311.000,205.000,0.304,0.064,0.547,0.060
storm,10,0.599,0.162,0.022,IBk,Oversampling,Backward Selection,0.000,0.000,1343.000,219.000,NaN,0.000,0.514,0.000
storm,10,0.599,0.162,0.022,IBk,Undersampling,No Selection,30.000,85.000,1258.000,189.000,0.261,0.137,0.577,0.092
storm,10,0.599,0.162,0.022,IBk,Undersampling,Backward Selection,8.000,52.000,1291.000,211.000,0.133,0.037,0.520,-0.003
storm,10,0.599,0.162,0.022,IBk,SMOTE,No Selection,16.000,35.000,1308.000,203.000,0.314,0.073,0.551,0.069
storm,10,0.599,0.162,0.022,IBk,SMOTE,Backward Selection,0.000,0.000,1343.000,219.000,NaN,0.000,0.519,0.000
storm,11,0.694,0.159,0.007,Naive Bayes,No Sampling,No Selection,39.000,183.000,1389.000,43.000,0.176,0.476,0.750,0.199
storm,11,0.694,0.159,0.007,Naive Bayes,No Sampling,Backward Selection,28.000,136.000,1436.000,54.000,0.171,0.341,0.660,0.173
storm,11,0.694,0.159,0.007,Naive Bayes,Oversampling,No Selection,39.000,179.000,1393.000,43.000,0.179,0.476,0.749,0.203
storm,11,0.694,0.159,0.007,Naive Bayes,Oversampling,Backward Selection,28.000,136.000,1436.000,54.000,0.171,0.341,0.660,0.173
storm,11,0.694,0.159,0.007,Naive Bayes,Undersampling,No Selection,39.000,186.000,1386.000,43.000,0.173,0.476,0.749,0.196
storm,11,0.694,0.159,0.007,Naive Bayes,Undersampling,Backward Selection,35.000,152.000,1420.000,47.000,0.187,0.427,0.660,0.205
storm,11,0.694,0.159,0.007,Naive Bayes,SMOTE,No Selection,39.000,188.000,1384.000,43.000,0.172,0.476,0.749,0.194
storm,11,0.694,0.159,0.007,Naive Bayes,SMOTE,Backward Selection,28.000,136.000,1436.000,54.000,0.171,0.341,0.677,0.173
storm,11,0.694,0.159,0.007,Random Forest,No Sampling,No Selection,9.000,32.000,1540.000,73.000,0.220,0.110,0.722,0.117
storm,11,0.694,0.159,0.007,Random Forest,No Sampling,Backward Selection,3.000,4.000,1568.000,79.000,0.429,0.037,0.386,0.060
storm,11,0.694,0.159,0.007,Random Forest,Oversampling,No Selection,7.000,33.000,1539.000,75.000,0.175,0.085,0.714,0.085
storm,11,0.694,0.159,0.007,Random Forest,Oversampling,Backward Selection,3.000,9.000,1563.000,79.000,0.250,0.037,0.353,0.052
storm,11,0.694,0.159,0.007,Random Forest,Undersampling,No Selection,21.000,136.000,1436.000,61.000,0.134,0.256,0.701,0.118
storm,11,0.694,0.159,0.007,Random Forest,Undersampling,Backward Selection,35.000,164.000,1408.000,47.000,0.176,0.427,0.645,0.192
storm,11,0.694,0.159,0.007,Random Forest,SMOTE,No Selection,17.000,87.000,1485.000,65.000,0.163,0.207,0.535,0.135
storm,11,0.694,0.159,0.007,Random Forest,SMOTE,Backward Selection,3.000,9.000,1563.000,79.000,0.250,0.037,0.353,0.052
storm,11,0.694,0.159,0.007,IBk,No Sampling,No Selection,13.000,37.000,1535.000,69.000,0.260,0.159,0.495,0.166
storm,11,0.694,0.159,0.007,IBk,No Sampling,Backward Selection,3.000,5.000,1567.000,79.000,0.375,0.037,0.385,0.058
storm,11,0.694,0.159,0.007,IBk,Oversampling,No Selection,13.000,38.000,1534.000,69.000,0.255,0.159,0.668,0.164
storm,11,0.694,0.159,0.007,IBk,Oversampling,Backward Selection,3.000,10.000,1562.000,79.000,0.231,0.037,0.353,0.050
storm,11,0.694,0.159,0.007,IBk,Undersampling,No Selection,33.000,217.000,1355.000,49.000,0.132,0.402,0.581,0.134
storm,11,0.694,0.159,0.007,IBk,Undersampling,Backward Selection,35.000,168.000,1404.000,47.000,0.172,0.427,0.643,0.188
storm,11,0.694,0.159,0.007,IBk,SMOTE,No Selection,16.000,118.000,1454.000,66.000,0.119,0.195,0.479,0.092
storm,11,0.694,0.159,0.007,IBk,SMOTE,Backward Selection,3.000,10.000,1562.000,79.000,0.231,0.037,0.353,0.050
storm,12,0.794,0.145,0.009,Naive Bayes,No Sampling,No Selection,49.000,140.000,1441.000,71.000,0.259,0.408,0.702,0.253
storm,12,0.794,0.145,0.009,Naive Bayes,No Sampling,Backward Selection,35.000,114.000,1467.000,85.000,0.235,0.292,0.656,0.198
storm,12,0.794,0.145,0.009,Naive Bayes,Oversampling,No Selection,49.000,134.000,1447.000,71.000,0.268,0.408,0.701,0.260
storm,12,0.794,0.145,0.009,Naive Bayes,Oversampling,Backward Selection,35.000,114.000,1467.000,85.000,0.235,0.292,0.656,0.198
storm,12,0.794,0.145,0.009,Naive Bayes,Undersampling,No Selection,49.000,141.000,1440.000,71.000,0.258,0.408,0.702,0.251
storm,12,0.794,0.145,0.009,Naive Bayes,Undersampling,Backward Selection,37.000,117.000,1464.000,83.000,0.240,0.308,0.684,0.207
storm,12,0.794,0.145,0.009,Naive Bayes,SMOTE,No Selection,49.000,142.000,1439.000,71.000,0.257,0.408,0.703,0.250
storm,12,0.794,0.145,0.009,Naive Bayes,SMOTE,Backward Selection,35.000,114.000,1467.000,85.000,0.235,0.292,0.668,0.198
storm,12,0.794,0.145,0.009,Random Forest,No Sampling,No Selection,20.000,3.000,1578.000,100.000,0.870,0.167,0.688,0.263
storm,12,0.794,0.145,0.009,Random Forest,No Sampling,Backward Selection,12.000,0.000,1581.000,108.000,1.000,0.100,0.501,0.171
storm,12,0.794,0.145,0.009,Random Forest,Oversampling,No Selection,16.000,3.000,1578.000,104.000,0.842,0.133,0.678,0.215
storm,12,0.794,0.145,0.009,Random Forest,Oversampling,Backward Selection,6.000,0.000,1581.000,114.000,1.000,0.050,0.488,0.089
storm,12,0.794,0.145,0.009,Random Forest,Undersampling,No Selection,46.000,141.000,1440.000,74.000,0.246,0.383,0.680,0.234
storm,12,0.794,0.145,0.009,Random Forest,Undersampling,Backward Selection,15.000,38.000,1543.000,105.000,0.283,0.125,0.507,0.136
storm,12,0.794,0.145,0.009,Random Forest,SMOTE,No Selection,23.000,19.000,1562.000,97.000,0.548,0.192,0.688,0.257
storm,12,0.794,0.145,0.009,Random Forest,SMOTE,Backward Selection,8.000,0.000,1581.000,112.000,1.000,0.067,0.492,0.117
storm,12,0.794,0.145,0.009,IBk,No Sampling,No Selection,13.000,9.000,1572.000,107.000,0.591,0.108,0.641,0.165
storm,12,0.794,0.145,0.009,IBk,No Sampling,Backward Selection,6.000,0.000,1581.000,114.000,1.000,0.050,0.412,0.089
storm,12,0.794,0.145,0.009,IBk,Oversampling,No Selection,13.000,11.000,1570.000,107.000,0.542,0.108,0.654,0.161
storm,12,0.794,0.145,0.009,IBk,Oversampling,Backward Selection,6.000,0.000,1581.000,114.000,1.000,0.050,0.393,0.089
storm,12,0.794,0.145,0.009,IBk,Undersampling,No Selection,29.000,142.000,1439.000,91.000,0.170,0.242,0.668,0.127
storm,12,0.794,0.145,0.009,IBk,Undersampling,Backward Selection,10.000,38.000,1543.000,110.000,0.208,0.083,0.391,0.082
storm,12,0.794,0.145,0.009,IBk,SMOTE,No Selection,16.000,33.000,1548.000,104.000,0.327,0.133,0.642,0.155
storm,12,0.794,0.145,0.009,IBk,SMOTE,Backward Selection,6.000,0.000,1581.000,114.000,1.000,0.050,0.395,0.089
storm,13,0.897,0.137,0.008,Naive Bayes,No Sampling,No Selection,11.000,36.000,1548.000,105.000,0.234,0.095,0.573,0.100
storm,13,0.897,0.137,0.008,Naive Bayes,No Sampling,Backward Selection,0.000,0.000,1584.000,116.000,NaN,0.000,0.558,0.000
storm,13,0.897,0.137,0.008,Naive Bayes,Oversampling,No Selection,11.000,39.000,1545.000,105.000,0.220,0.095,0.572,0.095
storm,13,0.897,0.137,0.008,Naive Bayes,Oversampling,Backward Selection,0.000,0.000,1584.000,116.000,NaN,0.000,0.560,0.000
storm,13,0.897,0.137,0.008,Naive Bayes,Undersampling,No Selection,13.000,88.000,1496.000,103.000,0.129,0.112,0.571,0.060
storm,13,0.897,0.137,0.008,Naive Bayes,Undersampling,Backward Selection,2.000,76.000,1508.000,114.000,0.026,0.017,0.561,-0.036
storm,13,0.897,0.137,0.008,Naive Bayes,SMOTE,No Selection,10.000,37.000,1547.000,106.000,0.213,0.086,0.572,0.087
storm,13,0.897,0.137,0.008,Naive Bayes,SMOTE,Backward Selection,0.000,0.000,1584.000,116.000,NaN,0.000,0.560,0.000
storm,13,0.897,0.137,0.008,Random Forest,No Sampling,No Selection,12.000,6.000,1578.000,104.000,0.667,0.103,0.679,0.164
storm,13,0.897,0.137,0.008,Random Forest,No Sampling,Backward Selection,0.000,0.000,1584.000,116.000,NaN,0.000,0.535,0.000
storm,13,0.897,0.137,0.008,Random Forest,Oversampling,No Selection,13.000,11.000,1573.000,103.000,0.542,0.112,0.658,0.166
storm,13,0.897,0.137,0.008,Random Forest,Oversampling,Backward Selection,0.000,0.000,1584.000,116.000,NaN,0.000,0.519,0.000
storm,13,0.897,0.137,0.008,Random Forest,Undersampling,No Selection,44.000,97.000,1487.000,72.000,0.312,0.379,0.721,0.289
storm,13,0.897,0.137,0.008,Random Forest,Undersampling,Backward Selection,19.000,148.000,1436.000,97.000,0.114,0.164,0.533,0.058
storm,13,0.897,0.137,0.008,Random Forest,SMOTE,No Selection,17.000,6.000,1578.000,99.000,0.739,0.147,0.660,0.227
storm,13,0.897,0.137,0.008,Random Forest,SMOTE,Backward Selection,0.000,0.000,1584.000,116.000,NaN,0.000,0.519,0.000
storm,13,0.897,0.137,0.008,IBk,No Sampling,No Selection,21.000,7.000,1577.000,95.000,0.750,0.181,0.639,0.272
storm,13,0.897,0.137,0.008,IBk,No Sampling,Backward Selection,0.000,0.000,1584.000,116.000,NaN,0.000,0.536,0.000
storm,13,0.897,0.137,0.008,IBk,Oversampling,No Selection,17.000,9.000,1575.000,99.000,0.654,0.147,0.637,0.220
storm,13,0.897,0.137,0.008,IBk,Oversampling,Backward Selection,0.000,0.000,1584.000,116.000,NaN,0.000,0.519,0.000
storm,13,0.897,0.137,0.008,IBk,Undersampling,No Selection,56.000,185.000,1399.000,60.000,0.232,0.483,0.672,0.244
storm,13,0.897,0.137,0.008,IBk,Undersampling,Backward Selection,19.000,148.000,1436.000,97.000,0.114,0.164,0.533,0.058
storm,13,0.897,0.137,0.008,IBk,SMOTE,No Selection,23.000,23.000,1561.000,93.000,0.500,0.198,0.639,0.255
storm,13,0.897,0.137,0.008,IBk,SMOTE,Backward Selection,0.000,0.000,1584.000,116.000,NaN,0.000,0.519,0.000
