Dataset,#TrainingRelease,%Training,%TrainDefective,%TestDefective,Classifier,Sampling,Feature Selection,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
storm,2,0.054,0.236,0.261,IBk,No Sampling,No Selection,3.000,0.000,345.000,231.000,1.000,0.013,0.581,0.015
storm,2,0.054,0.236,0.261,IBk,No Sampling,Backward Selection,0.000,0.000,345.000,234.000,NaN,0.000,0.500,0.000
storm,2,0.054,0.236,0.261,IBk,Oversampling,No Selection,3.000,0.000,345.000,231.000,1.000,0.013,0.432,0.015
storm,2,0.054,0.236,0.261,IBk,Oversampling,Backward Selection,0.000,0.000,345.000,234.000,NaN,0.000,0.575,0.000
storm,2,0.054,0.236,0.261,IBk,Undersampling,No Selection,38.000,0.000,345.000,196.000,1.000,0.162,0.581,0.188
storm,2,0.054,0.236,0.261,IBk,Undersampling,Backward Selection,199.000,345.000,0.000,35.000,0.366,0.850,0.425,-0.123
storm,2,0.054,0.236,0.261,IBk,SMOTE,No Selection,3.000,0.000,345.000,231.000,1.000,0.013,0.581,0.015
storm,2,0.054,0.236,0.261,IBk,SMOTE,Backward Selection,0.000,0.000,345.000,234.000,NaN,0.000,0.500,0.000
storm,3,0.090,0.302,0.134,Naive Bayes,No Sampling,No Selection,8.000,1.000,495.000,190.000,0.889,0.040,0.748,0.054
storm,3,0.090,0.302,0.134,Naive Bayes,No Sampling,Backward Selection,0.000,0.000,496.000,198.000,NaN,0.000,0.711,0.000
storm,3,0.090,0.302,0.134,Naive Bayes,Oversampling,No Selection,13.000,5.000,491.000,185.000,0.722,0.066,0.742,0.076
storm,3,0.090,0.302,0.134,Naive Bayes,Oversampling,Backward Selection,0.000,0.000,496.000,198.000,NaN,0.000,0.711,0.000
storm,3,0.090,0.302,0.134,Naive Bayes,Undersampling,No Selection,56.000,15.000,481.000,142.000,0.789,0.283,0.749,0.313
storm,3,0.090,0.302,0.134,Naive Bayes,Undersampling,Backward Selection,38.000,63.000,433.000,160.000,0.376,0.192,0.714,0.076
storm,3,0.090,0.302,0.134,Naive Bayes,SMOTE,No Selection,72.000,93.000,403.000,126.000,0.436,0.364,0.712,0.185
storm,3,0.090,0.302,0.134,Naive Bayes,SMOTE,Backward Selection,70.000,92.000,404.000,128.000,0.432,0.354,0.707,0.178
storm,3,0.090,0.302,0.134,Random Forest,No Sampling,No Selection,135.000,109.000,387.000,63.000,0.553,0.682,0.742,0.432
storm,3,0.090,0.302,0.134,Random Forest,No Sampling,Backward Selection,134.000,117.000,379.000,64.000,0.534,0.677,0.730,0.408
storm,3,0.090,0.302,0.134,Random Forest,Oversampling,No Selection,123.000,108.000,388.000,75.000,0.532,0.621,0.704,0.384
storm,3,0.090,0.302,0.134,Random Forest,Oversampling,Backward Selection,135.000,117.000,379.000,63.000,0.536,0.682,0.736,0.412
storm,3,0.090,0.302,0.134,Random Forest,Undersampling,No Selection,135.000,117.000,379.000,63.000,0.536,0.682,0.694,0.412
storm,3,0.090,0.302,0.134,Random Forest,Undersampling,Backward Selection,135.000,117.000,379.000,63.000,0.536,0.682,0.686,0.412
storm,3,0.090,0.302,0.134,Random Forest,SMOTE,No Selection,129.000,136.000,360.000,69.000,0.487,0.652,0.722,0.343
storm,3,0.090,0.302,0.134,Random Forest,SMOTE,Backward Selection,135.000,117.000,379.000,63.000,0.536,0.682,0.740,0.412
storm,3,0.090,0.302,0.134,IBk,No Sampling,No Selection,135.000,133.000,363.000,63.000,0.504,0.682,0.675,0.374
storm,3,0.090,0.302,0.134,IBk,No Sampling,Backward Selection,129.000,117.000,379.000,69.000,0.524,0.652,0.658,0.387
storm,3,0.090,0.302,0.134,IBk,Oversampling,No Selection,135.000,133.000,363.000,63.000,0.504,0.682,0.660,0.374
storm,3,0.090,0.302,0.134,IBk,Oversampling,Backward Selection,129.000,117.000,379.000,69.000,0.524,0.652,0.658,0.387
storm,3,0.090,0.302,0.134,IBk,Undersampling,No Selection,135.000,133.000,363.000,63.000,0.504,0.682,0.675,0.374
storm,3,0.090,0.302,0.134,IBk,Undersampling,Backward Selection,129.000,117.000,379.000,69.000,0.524,0.652,0.658,0.387
storm,3,0.090,0.302,0.134,IBk,SMOTE,No Selection,135.000,133.000,363.000,63.000,0.504,0.682,0.675,0.374
storm,3,0.090,0.302,0.134,IBk,SMOTE,Backward Selection,129.000,117.000,379.000,69.000,0.524,0.652,0.658,0.387
storm,4,0.132,0.297,0.104,Naive Bayes,No Sampling,No Selection,149.000,17.000,538.000,77.000,0.898,0.659,0.874,0.682
storm,4,0.132,0.297,0.104,Naive Bayes,No Sampling,Backward Selection,138.000,24.000,531.000,88.000,0.852,0.611,0.853,0.619
storm,4,0.132,0.297,0.104,Naive Bayes,Oversampling,No Selection,151.000,19.000,536.000,75.000,0.888,0.668,0.869,0.684
storm,4,0.132,0.297,0.104,Naive Bayes,Oversampling,Backward Selection,91.000,19.000,536.000,135.000,0.827,0.403,0.851,0.435
storm,4,0.132,0.297,0.104,Naive Bayes,Undersampling,No Selection,145.000,13.000,542.000,81.000,0.918,0.642,0.876,0.679
storm,4,0.132,0.297,0.104,Naive Bayes,Undersampling,Backward Selection,137.000,20.000,535.000,89.000,0.873,0.606,0.857,0.627
storm,4,0.132,0.297,0.104,Naive Bayes,SMOTE,No Selection,151.000,17.000,538.000,75.000,0.899,0.668,0.876,0.690
storm,4,0.132,0.297,0.104,Naive Bayes,SMOTE,Backward Selection,138.000,24.000,531.000,88.000,0.852,0.611,0.851,0.619
storm,4,0.132,0.297,0.104,Random Forest,No Sampling,No Selection,146.000,4.000,551.000,80.000,0.973,0.646,0.844,0.710
storm,4,0.132,0.297,0.104,Random Forest,No Sampling,Backward Selection,142.000,4.000,551.000,84.000,0.973,0.628,0.837,0.694
storm,4,0.132,0.297,0.104,Random Forest,Oversampling,No Selection,146.000,4.000,551.000,80.000,0.973,0.646,0.834,0.710
storm,4,0.132,0.297,0.104,Random Forest,Oversampling,Backward Selection,142.000,4.000,551.000,84.000,0.973,0.628,0.842,0.694
storm,4,0.132,0.297,0.104,Random Forest,Undersampling,No Selection,159.000,5.000,550.000,67.000,0.970,0.704,0.851,0.756
storm,4,0.132,0.297,0.104,Random Forest,Undersampling,Backward Selection,142.000,4.000,551.000,84.000,0.973,0.628,0.847,0.694
storm,4,0.132,0.297,0.104,Random Forest,SMOTE,No Selection,153.000,5.000,550.000,73.000,0.968,0.677,0.841,0.733
storm,4,0.132,0.297,0.104,Random Forest,SMOTE,Backward Selection,146.000,4.000,551.000,80.000,0.973,0.646,0.819,0.710
storm,4,0.132,0.297,0.104,IBk,No Sampling,No Selection,134.000,2.000,553.000,92.000,0.985,0.593,0.739,0.668
storm,4,0.132,0.297,0.104,IBk,No Sampling,Backward Selection,124.000,2.000,553.000,102.000,0.984,0.549,0.731,0.627
storm,4,0.132,0.297,0.104,IBk,Oversampling,No Selection,137.000,3.000,552.000,89.000,0.979,0.606,0.750,0.677
storm,4,0.132,0.297,0.104,IBk,Oversampling,Backward Selection,122.000,2.000,553.000,104.000,0.984,0.540,0.716,0.619
storm,4,0.132,0.297,0.104,IBk,Undersampling,No Selection,139.000,3.000,552.000,87.000,0.979,0.615,0.813,0.685
storm,4,0.132,0.297,0.104,IBk,Undersampling,Backward Selection,130.000,3.000,552.000,96.000,0.977,0.575,0.805,0.649
storm,4,0.132,0.297,0.104,IBk,SMOTE,No Selection,134.000,2.000,553.000,92.000,0.985,0.593,0.740,0.668
storm,4,0.132,0.297,0.104,IBk,SMOTE,Backward Selection,124.000,2.000,553.000,102.000,0.984,0.549,0.731,0.627
storm,5,0.179,0.295,0.094,Naive Bayes,No Sampling,No Selection,166.000,14.000,585.000,111.000,0.922,0.599,0.833,0.636
storm,5,0.179,0.295,0.094,Naive Bayes,No Sampling,Backward Selection,173.000,28.000,571.000,104.000,0.861,0.625,0.824,0.624
